"logit_1_0";"Cattle";"Prot_area";"Powerlines";"Railroads";"WAI";"WGI";"WUI";"Machinery";"FAPU";"Tracks";"Change_pop"
1;480;24031,140625;0;0;0;0;0;0,330000013113022;0;0;-0,00600000005215406
1;763;1e+06;0;0;452471;0;0;2,17000007629395;0;0;-0,0750000029802322
1;495,5;313822,5;261509,59375;0;344277;150339;0;0,509999990463257;0;0;0,200000002980232
1;2666;0;0;0;430075;200063;0;0,829999983310699;0;74735,28125;0,148000001907349
1;271;609511,875;0;0;341357;0;0;2,85999989509583;0;15166,9599609375;0,24099999666214
1;635;0;0;0;195445;0;0;0,5;0;3106,92211914062;-0,00300000002607703
1;1091,5;0;128627,3984375;0;296985;0;0;1,6599999666214;33863;0;-0,0130000002682209
1;197;0;90764,7265625;0;493425;0;0;5,61999988555908;0;83728,5625;0,131999999284744
1;302;78193,4375;0;0;277234;0;0;0,699999988079071;0;0;0,00700000021606684
1;7776,5;1e+06;0;0;0;0;0;2,8199999332428;857420;0;-0,0570000000298023
1;501;0;0;0;419945;0;0;5,59000015258789;0;0;-0,11599999666214
1;499;0;0;0;292492;0;0;3,57999992370605;0;114471,8984375;0,109999999403954
1;2519;35091,73828125;100021,1015625;0;0;216252;0;2,00999999046326;580476;0;-0,0970000028610229
1;17787;1e+06;0;0;0;0;0;6,26999998092651;0;0;-0,100000001490116
1;7253;0;0;0;0;0;0;3,73000001907349;0;0;-0,0549999997019768
1;1218;0;0;0;223796;0;0;1,63999998569489;0;38284,859375;-0,0350000001490116
1;586;0;0;0;281933;0;0;0,46000000834465;0;0;0,0570000000298023
1;8258;0;0;0;0;0;0;2,50999999046326;216306;0;-0,0869999974966049
1;94;0;0;0;369353;51575;0;2,25;0;0;0,245000004768372
1;78;130167,3984375;0;0;297989;0;0;0,759999990463257;0;0;0,187000006437302
1;8376;0;0;0;0;354111;0;1,45000004768372;564780;0;0,0900000035762787
1;63;0;0;0;272417;0;0;2,34999990463257;0;321663,59375;0,00400000018998981
1;7191;0;0;0;453099;0;0;7,44000005722046;0;0;0,108000002801418
1;11134;0;0;0;0;93034;0;13,9300003051758;0;435909,3125;0,0140000004321337
1;0;0;223523,40625;0;276363;0;0;1,73000001907349;0;0;0,0800000131130219
1;2775;0;0;0;279157;0;0;4,67000007629395;0;0;0,131999999284744
1;626;0;0;0;580266;24187;0;1,22000002861023;0;0;0,28099998831749
1;2625;0;0;0;0;426165;0;1,70000004768372;850078;0;-0,185000002384186
1;918,5;0;0;0;414496;0;0;6,59000015258789;0;0;-0,0230000000447035
1;1584;0;0;0;0;0;0;2,19000005722046;510573;292302,1875;-0,061999998986721
1;539,5;0;0;0;291988;99285;0;2,49000000953674;25209;0;-0,0489999987185001
1;409;0;0;0;362069;471448;0;1,5;239366;0;-0,122000001370907
1;8241;0;0;0;350729;0;0;8,30000019073486;0;530339,1875;-0,0599999986588955
1;443;0;0;0;302481;398963;0;0,920000016689301;0;0;0,0430000014603138
1;28;572771,875;0;0;380240;0;0;2,82999992370605;0;0;0,224000006914139
1;2415,5;0;0;0;260439;0;0;1,25;0;0;0,0240000002086163
1;1539;0;0;0;219816;0;0;0,170000001788139;0;0;0,101999998092651
1;18;0;0;0;479862;0;0;2,39000010490417;0;80930,5703125;0,0990000069141388
1;3700;0;0;0;230785;0;0;2,08999991416931;0;0;0,10700000077486
1;242;587433,125;0;0;244524;0;0;2,44000005722046;0;0;0,13400000333786
1;3219,5;924745,625;0;0;10331;0;0;1,10000002384186;0;0;0,0900000035762787
1;369;0;105967,796875;0;242528;0;0;1,20000004768372;0;0;0,0590000003576279
1;3102,5;0;0;0;460359;0;0;9,31999969482422;0;0;0,0160000007599592
1;7191;0;0;0;417570;0;0;7,44000005722046;0;0;0,0900000035762787
1;1277;0;0;0;0;428956;0;0,360000014305115;1e+06;0;-0,0410000011324883
1;12520;0;0;0;143258;715256;0;4,57000017166138;0;22123,41015625;-0,119000002741814
1;183;0;0;0;610682;276512;0;4,8899998664856;0;214476,09375;0,0800000131130219
1;501;0;0;0;304268;0;0;5,59000015258789;0;0;-0,11599999666214
1;1,5;0;0;0;553185;0;0;1,50999999046326;0;0;0,244000002741814
1;4882;0;0;0;479880;0;0;8,32999992370605;0;0;-0,0140000004321337
1;1094;0;0;0;0;0;0;1,50999999046326;488732;0;0,0219999998807907
1;113;1315,21398925781;0;0;400881;0;0;1,87000000476837;0;540297,1875;0,0500000007450581
1;1;0;0;0;289774;0;28859;0,899999976158142;0;0;0,28600001335144
1;726;0;0;0;369906;13846;0;2,4300000667572;0;0;0,0740000009536743
1;0;0;0;0;427355;0;0;0,449999988079071;0;0;0,155000001192093
1;975;0;0;0;381330;203301;0;1,61000001430511;0;317237,90625;0,0610000006854534
1;979;0;188787,5;0;312833;421954;0;0,660000026226044;0;0;0,284000009298325
1;2795,3330078125;0;0;0;282785;235138;0;2,57999992370605;0;85714,7109375;0,0820000022649765
1;626;0;0;0;238976;0;0;2,32999992370605;0;0;-0,0469999983906746
1;195;0;0;0;276701;0;0;0,709999978542328;0;0;0,068000003695488
