TavgMAX	Tavg	long	d_atl	d_medit	lat	elevation
20,3	14,55	614350	305753	152147	4489750	1423
23,8	16,10	593950	271251	183121	4522150	1100
24,4	18,15	567250	279823	204123	4512650	1229
20,1	14,05	609150	319257	150357	4475450	1610
20,3	13,85	629450	306673	138390	4491350	1402
21,9	16,20	666750	317312	103530	4489850	1022
24,4	17,35	659450	335694	102739	4468550	882
20,9	15,45	654050	347119	101473	4455350	828
21,2	15,20	666850	359349	85698	4446050	1308
24,0	17,30	654150	369714	91221	4432150	1186
26,8	19,80	668050	398728	71861	4405650	589
28,1	21,65	671750	402740	67917	4402450	522
26,5	20,70	727150	421822	12440	4399450	119
26,9	21,60	735350	425054	4242	4399050	22
27,4	22,05	735350	425054	4242	4399050	22
26,8	22,75	738650	414343	7045	4411850	80
27,3	21,95	743350	412801	4143	4415450	21
23,1	18,55	728850	405732	18170	4417250	816
26,0	21,00	750750	408039	1700	4423850	24
20,4	14,15	681950	332530	84895	4478450	1353
23,0	16,35	680050	343668	82444	4466250	1146
24,3	16,90	682450	374395	66619	4434950	1026
22,6	17,45	686050	364932	68622	4445850	993
22,9	17,05	699550	363062	59927	4452050	959
20,7	15,20	704450	358716	56815	4458350	1335
18,2	14,45	702350	381123	48958	4433950	1294
29,3	21,50	714950	381190	39560	4438250	417
26,3	21,45	735750	394184	18878	4432450	193
21,8	16,00	732850	349952	43355	4479550	1134
26,1	20,70	751050	388380	8516	4445650	247
22,2	16,65	737450	389140	19863	4438650	261
27,1	22,50	754850	407282	854	4426550	2
26,1	21,60	766550	393532	670	4447650	35
25,4	21,35	772450	388679	1969	4456350	13
26,8	21,70	774150	380209	4428	4467050	158
25,6	21,10	788050	376458	761	4479950	20
27,8	22,75	791050	366962	3661	4493350	87
20,3	15,25	767550	340220	32376	4509850	1149
26,5	20,75	790450	364794	5437	4495550	111
24,6	18,70	566050	79245	304122	4713350	436
26,0	20,05	578050	101727	281338	4690950	282
23,2	18,10	575150	70507	302263	4722050	517
18,4	13,90	568050	51076	320160	4741450	866
20,9	16,00	581950	57307	306223	4736150	804
24,2	17,95	574850	76584	298700	4715950	575
23,3	18,25	575250	88890	290962	4703650	410
25,2	19,30	584350	89365	283908	4704050	427
26,9	20,15	594750	118062	259546	4676750	284
20,4	15,35	703150	126920	228384	4735950	1214
21,1	15,10	703250	127168	228076	4735650	1183
21,8	16,20	701750	129987	222813	4728550	946
22,8	15,55	700350	130734	220955	4725450	889
23,7	16,15	704650	135971	216107	4722450	893
21,9	15,20	700750	132841	218307	4722550	874
23,8	16,80	701250	136787	213368	4716950	807
24,1	17,30	700950	137274	212626	4715850	802
24,0	16,35	693750	128954	220341	4720250	1017
21,0	14,50	694750	124660	226290	4728150	989
22,1	15,00	669450	92720	256766	4747650	774
22,4	16,45	667650	93705	254860	4743950	700
22,0	17,35	649850	98424	248652	4722050	718
24,2	18,35	648350	99094	248179	4720150	485
24,6	18,45	646350	100043	247609	4717650	437
19,7	15,35	641750	66466	280540	4756350	724
23,3	17,95	633350	75356	271987	4738650	507
21,4	17,05	626950	76553	271955	4732950	631
24,2	17,70	637450	84209	263327	4730750	456
23,2	17,15	643150	82210	264708	4737350	583
19,3	14,15	646650	73096	274001	4751850	1027
21,4	15,90	655550	82872	264544	4746850	708
24,0	17,05	654250	93670	253093	4731350	641
23,7	17,60	634950	94392	254717	4716850	527
24,7	18,80	641850	118343	232976	4693050	478
25,1	19,25	634350	100644	249610	4709150	429
23,2	17,85	622950	90978	261159	4714050	608
23,1	17,25	611050	83017	272327	4717750	519
24,0	19,10	610650	94892	264194	4705150	371
25,4	19,65	611050	110912	253368	4688650	292
21,6	15,55	620550	52280	294909	4757850	621
21,0	15,80	620550	52280	294909	4757850	621
21,0	15,85	622050	56364	290961	4753950	552
23,1	17,00	616650	59436	289022	4746650	508
22,0	17,20	622150	77137	272524	4729250	549
24,0	18,20	611350	66134	284916	4736050	444
21,9	17,05	620250	69377	279581	4737150	580
23,4	17,85	607450	51479	298037	4750450	526
23,7	17,90	598750	58747	296149	4739350	522
21,1	16,30	566850	43783	325945	4748850	500
23,0	17,70	595450	45142	307830	4752550	485
18,8	15,00	593350	54551	302179	4742450	888
19,0	14,70	589650	50846	306646	4745050	876
23,2	18,65	596850	71817	287924	4725350	327
24,9	19,00	596350	91605	274649	4704350	301
25,1	19,90	599250	102210	266059	4694150	279
25,5	19,45	606450	123809	248195	4673750	261
25,6	19,50	600050	124672	252029	4671150	281
24,9	18,90	606450	123809	248195	4673750	261
25,6	19,55	600050	124672	252029	4671150	281
22,8	16,95	574850	134948	266723	4657550	711
25,3	19,55	594550	137488	249215	4656950	412
24,9	19,65	600950	132472	247043	4663350	346
25,9	19,55	603250	125740	249200	4670850	283
24,4	18,50	605750	155086	231788	4641250	459
25,2	19,45	608550	150883	231747	4646250	391
25,1	19,30	608550	150883	231747	4646250	391
26,3	20,65	628750	154307	215642	4648550	227
22,8	16,75	600250	162508	232762	4632550	794
26,8	20,70	622050	167966	213217	4632350	432
28,1	22,05	631850	163916	208199	4639450	275
22,3	16,70	669950	132084	215065	4695050	754
26,3	18,65	642250	127156	226013	4683250	427
26,9	20,45	643350	158066	204203	4649750	281
26,7	20,70	627150	176676	205230	4624850	434
27,9	21,50	644150	171488	195728	4635650	211
25,0	17,80	574950	220931	224503	4571550	744
23,2	16,35	614350	245808	180184	4550450	1107
25,4	18,70	601550	225940	201356	4568550	730
25,0	18,00	601450	217704	206678	4576850	610
23,8	17,45	644950	321170	119986	4479850	1013
21,9	16,65	646350	294051	130174	4508150	1300
21,5	15,85	620750	281585	156050	4515250	1188
22,0	15,80	666150	293600	117083	4514350	1243
25,5	18,85	633450	247638	166640	4552750	757
27,1	19,35	619550	209348	198883	4588750	428
23,2	18,10	600550	190862	221589	4603850	863
23,9	18,00	648050	227572	168473	4577850	595
25,9	19,55	636650	212133	183161	4590650	384
25,5	19,85	640150	207704	181753	4596250	345
25,2	18,80	657550	206815	168308	4602950	597
28,2	21,90	665850	199569	166119	4614250	231
23,7	16,80	660050	235313	155758	4573550	618
27,9	22,15	675250	206211	156532	4611350	207
28,4	22,15	676550	206702	155464	4611450	208
21,1	14,70	719950	140885	220932	4736750	1335
21,7	15,05	719650	143390	216190	4731250	1053
24,7	17,50	719950	148049	208828	4723050	846
22,7	16,20	723450	160019	193523	4707450	863
24,3	16,00	723250	166439	184706	4697050	769
21,3	16,55	698550	142067	206090	4706150	892
23,8	16,60	702750	150688	197161	4698150	681
23,5	17,20	686050	141714	205085	4695250	513
26,4	20,70	685250	145704	201075	4689550	482
25,6	19,35	690550	154563	192219	4682450	550
26,0	19,05	690950	154092	192676	4683350	558
25,8	19,50	684050	167048	181324	4662250	384
24,9	18,60	695850	153735	193209	4687750	775
26,5	19,85	692650	170184	177086	4664450	379
26,9	20,10	699550	181122	166149	4655950	360
26,1	19,85	698050	201545	149029	4630150	387
